"","bmcat","efscience_identity","efSCIENCE_SELF_EFFICACY","efscicareer","ApproxAge","Female","LGBTQ","ANATENGSP","notfincon","PELL","ASIAN","BLACK","HISPANIC","OTHER","HBCU","MSI","intact1","intact7","affact2","insopn10","insopn19","insopn21","insopn14","cmp08","affact9","insopn92","degree"
"4429","Never",56.82,49.76,4,19,1,0,2,0,0,1,0,0,0,0,0,"2","3","1","3",2,3,2,5,"1",3,5
"4430","Never",56.77,43.35,3,18,1,0,2,0,0,0,0,0,0,0,0,"2","4","1","2",3,3,3,5,"1",3,4
"4431","Never",NA,NA,4,18,0,0,2,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"4432","Never",58.72,44.62,5,18,1,0,2,0,0,1,0,0,0,0,0,"2","5","2","4",2,3,2,5,"1",3,8
"4433","Never",51.96,NA,5,19,1,0,2,1,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"4434","Never",41.82,37.32,3,18,0,0,2,0,0,1,0,0,0,0,0,"2","3","2","2",1,2,1,4,"1",4,4
"4435","Never",57.22,44.62,5,18,1,0,2,0,0,0,1,0,0,0,0,"3","1","2","3",3,3,3,4,"1",3,8
"4436","Never",68.09,56.59,5,18,0,0,2,0,0,0,1,0,0,0,0,"5","4","1","4",4,4,4,5,"1",4,8
"4437","To",49.97,46.24,3,NA,0,0,NA,0,0,0,0,0,0,0,0,"3","2","3","2",1,3,2,3,"1",3,NA
"4438","To",49.55,59.51,3,NA,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4439","Pushout",37.95,NA,1,NA,1,1,2,0,0,0,0,0,0,0,0,"1","2","1","3",2,3,3,5,NA,3,5
"4440","To",50.67,19.27,3,NA,1,0,NA,0,0,0,0,0,0,0,0,"3","4","2","3",2,2,2,5,"1",3,NA
"4441","Never",62.77,51.79,4,NA,0,0,2,0,0,0,0,0,0,0,0,"3","5","2","2",NA,2,NA,5,NA,1,8
"4442","Never",56.13,34.4,1,18,1,0,2,0,0,1,0,0,0,0,0,"2","1","3","3",NA,NA,NA,4,"2",3,4
"4443","Never",NA,NA,3,18,1,0,2,1,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"4444","Never",56.82,44.62,3,18,1,0,2,0,1,0,0,1,0,0,0,"2","1","1","3",2,3,2,5,"1",3,7
"4445","Never",59.5,55.65,1,18,0,0,2,0,0,1,0,0,0,0,0,"2","3","1","4",4,4,4,6,"1",4,7
"4446","Never",55.16,54.08,5,19,1,0,2,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"4447","Never",64.66,50.51,4,18,1,0,2,0,0,0,0,0,0,0,0,"3","4","2","3",1,3,3,5,"1",3,5
"4448","Pushout",33.36,38.99,1,18,1,0,2,0,1,0,0,0,0,0,0,"5","5","2","3",4,2,1,3,NA,3,8
"4449","Never",NA,NA,5,18,0,0,2,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"4450","Never",48.82,44.62,2,18,1,0,2,0,0,0,0,0,0,0,0,"2","2","2","3",3,3,3,5,"1",3,4
"4451","Never",55.83,52.53,4,18,1,0,2,0,1,0,0,0,0,0,0,"2","4","1","3",4,4,3,5,"1",3,7
"4452","Pushout",53.25,43.77,3,NA,1,0,2,0,0,0,0,0,0,0,0,"2","2","3","3",2,3,3,1,"2",NA,4
"4453","Never",NA,NA,5,18,1,1,2,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"4454","Never",57.91,50.1,4,18,1,0,2,0,1,0,0,0,1,0,0,"2","4","1","3",3,3,2,4,"1",3,8
"4455","Never",52.84,54.71,2,18,0,0,2,0,0,0,0,0,0,0,0,"2","2","3","3",1,1,3,5,"2",3,5
"4456","Never",59.5,44.62,4,18,1,0,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"4457","Never",64.91,47.8,4,18,1,0,2,0,1,0,1,0,0,0,0,"2","4","2","4",2,3,3,5,"2",3,9
"4458","Never",NA,NA,3,18,1,0,2,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"4459","Never",50.68,36.42,3,18,1,0,2,0,0,1,0,0,0,0,0,"3","4","1","3",NA,3,NA,6,NA,3,5
"4460","Never",61.65,70.93,2,18,1,0,2,0,0,1,0,0,0,0,0,"4","1","2","4",4,3,3,6,"2",3,9
"4461","Never",62.93,40.51,4,18,0,0,2,0,0,1,0,0,0,0,0,"2","2","1","4",4,3,2,5,"1",4,8
"4462","Never",NA,NA,5,18,1,0,2,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"4463","Never",56.77,49.53,4,18,1,0,2,0,0,0,1,0,0,0,0,"3","4","1","3",2,3,3,4,"2",3,7
"4464","Never",NA,NA,4,18,0,0,2,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"4465","Never",64.91,49.44,3,18,1,0,2,1,0,0,1,0,0,0,0,"3","1","1","4",2,3,3,5,"2",3,4
"4466","To",NA,NA,3,18,0,0,2,0,1,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"4467","Never",63.96,NA,5,18,1,0,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"4468","Pushout",46.03,65.63,2,18,1,0,1,0,1,1,0,0,0,0,0,"4","4","2","4",4,4,4,6,"2",3,4
"4469","Never",52.52,37.33,3,18,0,0,1,1,1,1,0,0,0,0,0,"5","4","2","2",3,3,3,3,"2",3,5
"4470","Never",58.36,48.17,4,NA,1,0,2,0,0,0,0,0,0,0,0,"2","3","2","4",2,2,3,5,"2",3,NA
"4471","Never",55.9,47.15,2,18,1,0,2,0,0,0,0,0,0,0,0,"2","2","1","4",3,3,2,5,"1",4,7
"4472","Never",55.83,48.69,4,19,0,0,2,0,0,1,0,0,0,0,0,"2","2","1","2",2,2,2,4,"1",2,7
"4473","Persistence",60.27,53.68,5,18,1,0,2,0,1,0,0,0,0,0,0,"2","5","2","3",3,3,3,4,"1",3,7
"4474","Persistence",NA,NA,NA,18,1,0,2,0,0,0,0,0,0,0,0,"2","3","2",NA,NA,NA,NA,NA,"1",NA,4
"4475","Never",56.77,51.18,4,19,1,0,2,0,0,0,0,0,0,1,0,"4","1","2","3",1,3,3,5,"1",3,8
"4476","Pushout",43.04,36.54,3,NA,1,0,NA,0,0,0,1,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4477","Never",55.16,48.52,4,19,0,0,NA,0,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"4478","Pushout",NA,NA,NA,19,0,0,2,0,0,0,0,0,0,0,1,"2","4","2",NA,NA,NA,NA,NA,"1",NA,4
"4479","Never",53.25,54.27,3,18,0,0,2,0,1,0,0,0,1,0,1,"3","1","1","3",3,3,3,5,"3",3,4
"4480","Never",70.79,72.43,5,18,1,0,2,0,0,1,0,0,0,0,1,"1","1","1","4",4,4,3,6,"1",4,5
"4481","Never",53.25,42.7,4,19,1,0,2,0,1,0,0,1,0,0,1,"3","3","1","3",3,3,3,4,"1",3,6
"4482","Pushout",53.25,46.48,3,18,1,1,2,1,0,0,0,1,0,0,1,"2","1","1","3",2,3,3,4,"1",1,NA
"4483","Never",59.5,58.15,3,18,1,0,2,0,0,0,0,0,0,0,1,"2","4","1","3",3,3,3,5,"1",2,6
"4484","Never",57.91,43.32,4,19,0,0,1,0,0,0,0,1,0,0,1,"2","1","3","3",3,3,4,5,"1",2,6
"4485","Pushout",51.27,68.11,3,NA,0,0,2,0,0,0,0,0,1,0,1,"1","2","1","4",3,4,4,5,"2",3,5
"4486","Persistence",50,43.32,3,18,0,0,2,0,0,0,0,1,0,0,1,"2","4","2","3",3,2,2,5,"2",2,5
"4487","Never",59.5,50.11,4,18,1,0,2,1,0,0,0,1,0,0,1,"2","1","3","4",4,2,2,5,"1",3,7
"4488","Pushout",60.9,51.43,4,18,0,0,1,1,0,0,0,1,0,0,1,"2","2","2","3",2,3,3,4,"3",2,5
"4489","Never",59.65,62.08,3,19,0,0,2,0,1,0,0,0,0,0,1,"3","4","1","3",4,4,2,4,"2",2,6
"4490","Never",61.02,53.75,5,18,1,0,2,0,1,0,0,1,0,0,1,"2","1","1","3",3,3,3,5,NA,1,5
"4491","Never",59.35,46.74,4,NA,1,1,2,0,0,0,0,0,0,0,1,"2","2","3","3",3,3,2,5,"1",3,5
"4492","Never",53.84,43.98,2,18,1,0,1,0,1,0,0,1,0,0,1,"2","3","2","4",3,2,4,5,"2",2,6
"4493","Persistence",52.52,46.37,3,18,1,0,2,0,0,0,0,0,0,0,1,"2","6","3","3",3,3,4,5,"1",2,4
"4494","Pushout",NA,NA,NA,18,0,0,2,0,0,1,0,0,0,0,1,"3","5","2","3",3,4,NA,NA,"1",3,5
